,Cereal,Manufacturer,Type,Calories,Protein,Fat,Sodium,Fiber,Carbo,Sugars,Potass,Vitamins,Shelf,Weight,Scoope,Rating,Caloric density,Sugar to fiber ratio
0,100% bran,Nabisco,Cold,85,4.0,1,130,6.0,5.0,6.0,232.5,Standard,Bottom,1.0,0.33,6.8,85.0,0.6
1,100% natural bran,Quaker oats,Cold,120,3.0,5,15,2.0,8.0,8.0,135.0,Minimal,Bottom,1.0,1.0,3.4,120.0,4.0
2,All-bran,Kelloggs,Cold,85,4.0,1,260,6.0,7.0,5.0,232.5,Standard,Bottom,1.0,0.33,5.9,85.0,0.56
3,All-bran with extra fiber,Kelloggs,Cold,85,4.0,0,140,6.0,8.0,0.0,232.5,Standard,Bottom,1.0,0.5,7.799999999999999,85.0,0.0
4,Almond delight,Ralston purina,Cold,110,2.0,2,200,1.0,14.0,8.0,96.08,Standard,Bottom,1.0,0.75,3.4,110.0,8.0
5,Apple cinnamon cheerios,General mills,Cold,110,2.0,2,180,1.5,10.5,10.0,70.0,Standard,Top,1.0,0.75,3.0,110.0,6.67
6,Apple jacks,Kelloggs,Cold,110,2.0,0,125,1.0,11.0,14.0,30.0,Standard,Middle,1.0,1.0,3.3,110.0,14.0
7,Basic 4,General mills,Cold,125,3.0,2,210,2.0,18.0,8.0,100.0,Standard,Bottom,1.0,0.75,3.7,97.74436090225564,4.0
8,Bran chex,Ralston purina,Cold,90,2.0,1,200,4.0,15.0,6.0,125.0,Standard,Top,1.0,0.67,4.9,90.0,1.5
9,Bran flakes,Post,Cold,90,3.0,0,210,5.0,13.0,5.0,190.0,Standard,Bottom,1.0,0.67,5.3,90.0,1.0
10,Cap'n'crunch,Quaker oats,Cold,120,1.0,2,220,0.0,12.0,12.0,35.0,Standard,Middle,1.0,0.75,1.8,120.0,33.03
11,Cheerios,General mills,Cold,110,4.5,2,290,2.0,17.0,1.0,105.0,Standard,Top,1.0,1.25,5.1,110.0,0.5
12,Cinnamon toast crunch,General mills,Cold,120,1.0,3,210,0.0,13.0,9.0,45.0,Standard,Middle,1.0,0.75,2.0,120.0,33.03
13,Clusters,General mills,Cold,110,3.0,2,140,2.0,13.0,7.0,105.0,Standard,Bottom,1.0,0.5,4.0,110.0,3.5
14,Cocoa puffs,General mills,Cold,110,1.0,1,180,0.0,12.0,13.0,55.0,Standard,Middle,1.0,1.0,2.3,110.0,33.03
15,Corn chex,Ralston purina,Cold,110,2.0,0,280,0.0,22.0,3.0,25.0,Standard,Top,1.0,1.0,4.1,110.0,33.03
