,Name,Cuisines,Total Items,Area,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,Total Rating,AverageCost,Area Cost,Discount,isTakeaway,IsHomeDelivery,isIndoorSeating,isVegOnly
0,Sri Udupi Park,"South Indian, North Indian, Chinese, Street Food, Biryani, Ice Cream, Beverages, Shake",8,Indiranagar,Average,107,4.1,3670,4.1,450,449.0,0.0,1,1,1,1
1,Meghana Foods,"Biryani, Andhra, North Indian, Seafood",4,Indiranagar,Good,107,4.3,3670,4.3,700,449.0,177.0,1,1,1,0
2,Donne Biriyani House,Biryani,1,Indiranagar,Average,107,3.5,3670,3.5,300,449.0,0.0,1,1,1,0
3,Domino's Pizza,"Pizza, Fast Food, Desserts",3,Indiranagar,Poor,107,4.4,3670,4.4,400,449.0,0.0,1,1,1,0
4,KFC,"Burger, Fast Food, Biryani, Desserts, Beverages",5,Indiranagar,Poor,107,4.0,3670,4.0,400,449.0,0.0,1,1,1,0
5,The Congee Concept,South Indian,1,Ulsoor,Average,0,4.5,239,4.5,100,328.0,0.0,0,1,0,0
6,Burger King,"Burger, Fast Food, Beverages, Desserts",4,Indiranagar,Good,107,4.1,3670,4.1,400,449.0,0.0,1,1,1,0
7,McDonald's,"Burger, Beverages, Fast Food, Desserts",4,Indiranagar,Average,107,4.1,3670,4.1,400,449.0,0.0,1,1,1,0
8,Mani's Dum Biryani,"Biryani, Kebab",2,Jeevan Bhima Nagar,Good,107,4.1,3670,4.1,775,308.0,177.0,1,1,1,0
9,Madras Meal Company,South Indian,1,Thippasandra,Average,0,4.0,2958,4.0,150,279.0,0.0,0,1,0,0
10,ZAZA 22 Spice Biryani,"Biryani, Mughlai, North Indian",3,Indiranagar,Average,0,3.8,447,3.8,200,449.0,0.0,0,1,0,0
11,New Alameen Restaurant,"Kerala, North Indian, Chinese",3,Ulsoor,Average,107,3.7,3670,3.7,300,328.0,0.0,1,1,1,0
12,Ovenstory Pizza,"Pizza, Desserts",2,Indiranagar,Average,0,4.3,3670,4.3,250,449.0,0.0,0,1,0,0
13,Biryani Trip,"Hyderabadi, Biryani",2,Indiranagar,Average,0,4.0,70,4.0,250,449.0,0.0,0,1,0,0
14,FreshMenu,"Continental, North Indian, Biryani",3,Indiranagar,Average,0,3.7,3670,3.7,200,449.0,0.0,0,1,0,0
15,BOX8 - Desi Meals,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages",6,Indiranagar,Average,0,4.2,3670,4.2,200,449.0,0.0,1,1,0,0
16,Nagarjuna,"Andhra, Biryani, North Indian",3,Indiranagar,Good,107,4.1,455,4.1,775,449.0,177.0,1,1,1,0
17,Natural Ice Cream,"Ice Cream, Beverages",2,Indiranagar,Best,107,4.6,1345,4.6,300,449.0,0.0,1,1,1,1
18,Bucket Biryani,"Biryani, Kebab",2,Brigade Road,Poor,6,4.2,492,4.2,775,357.0,177.0,1,1,1,0
19,Rotti Walla,"North Indian, South Indian, Chinese, Mughlai, Biryani, Fast Food, Beverages, Desserts",8,Indiranagar,Average,0,3.9,3670,3.9,100,449.0,0.0,0,1,0,0
20,Green Pepper,"Kerala, Biryani, North Indian, South Indian, Seafood, Chinese",6,Jeevan Bhima Nagar,Average,107,4.0,3670,4.0,600,308.0,177.0,1,1,1,0
21,Punjabi Dhaba,"North Indian, Mughlai, Chinese",3,Indiranagar,Average,6,3.4,1216,3.4000000000000004,500,449.0,20.0,1,1,1,0
22,Burma Burma,"Salad, Burmese, Asian, Tea, Beverages",5,Indiranagar,Best,107,4.4,1123,4.4,775,449.0,177.0,1,1,1,0
23,Pizza Hut,"Pizza, Fast Food, Desserts, Beverages",4,Indiranagar,Average,107,3.8,3670,3.8,400,449.0,0.0,1,1,1,0
24,Leon Grill,"Burger, Fast Food, Wraps, Street Food, Desserts, Beverages",6,Indiranagar,Good,107,4.2,3670,4.2,400,449.0,0.0,1,1,1,0
25,Onesta,"Pizza, Pasta, Fast Food, Desserts, Beverages, Sandwich, North Indian",7,Indiranagar,Good,107,3.8,1814,3.8,500,449.0,20.0,1,1,1,0
26,Paakashala,"South Indian, North Indian, Chinese, Juices, Beverages, Shake",6,Indiranagar,Average,92,4.0,1375,4.0,400,449.0,0.0,1,1,1,1
27,M.M.A Kabab and Rolls,"North Indian, Mughlai, Chinese, Kebab, Rolls, Seafood, Arabian, Biryani",8,Old Madras Road,Poor,107,3.7,3670,3.7,500,312.0,177.0,1,1,1,0
28,Ayodhya Vihar Pure Veg,"North Indian, Chinese, South Indian, Beverages, Desserts, Juices, Ice Cream, Shake",8,Jeevan Bhima Nagar,Poor,36,4.1,3670,4.1,450,308.0,142.0,1,1,1,1
